General Dentists DS Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,DentalSave DS Network ,,,,,,,,,,,,,,
,,,Usual Fees (NDAS 2019),,,,,,,,,,,,,,, 45% Discount,,,,,,,,,,,,,,
CDT CODE,, Care Fees ,,,,,,,,,,,,,,,,DS 0.70,DS 0.75,DS 0.80,DS 0.85,DS 0.90,DS 0.95,DS 1.00,DS 1.05,DS 1.10,DS 1.15,DS 1.20,DS 1.25,DS 1.30,DS 1.35,
Diagnostic  Procedures ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D0120,periodic oral evaluation - established patient, $27.00 ,$39.00,$42.00,$45.00,$48.00,$50.00,$53.00,$56.00,$59.00,$62.00,$64.00,$67.00,$70.00,$73.00,$76.00,, $21.00 , $23.00 , $25.00 , $26.00 , $28.00 , $29.00 , $31.00 , $32.00 , $34.00 , $35.00 , $37.00 , $39.00 , $40.00 , $42.00 ,
D0140,limited oral evaluation - problem focused, $27.00 ,$59.00,$63.00,$67.00,$71.00,$76.00,$80.00,$84.00,$88.00,$92.00,$97.00,$101.00,$105.00,$109.00,$113.00,, $32.00 , $35.00 , $37.00 , $39.00 , $42.00 , $44.00 , $46.00 , $48.00 , $51.00 , $53.00 , $56.00 , $58.00 , $60.00 , $62.00 ,
D0150,comprehensive oral evaluation - new or established patient, $27.00 ,$69.00,$74.00,$78.00,$83.00,$88.00,$93.00,$98.00,$103.00,$108.00,$113.00,$118.00,$123.00,$127.00,$132.00,, $38.00 , $41.00 , $43.00 , $46.00 , $48.00 , $51.00 , $54.00 , $57.00 , $59.00 , $62.00 , $65.00 , $68.00 , $70.00 , $73.00 ,
D0160,"detailed and extensive oral evaluation - problem focused, by report", $27.00 ,$118.00,$126.00,$134.00,$143.00,$151.00,$160.00,$168.00,$176.00,$185.00,$193.00,$202.00,$210.00,$218.00,$227.00,, $65.00 , $69.00 , $74.00 , $79.00 , $83.00 , $88.00 , $92.00 , $97.00 , $102.00 , $106.00 , $111.00 , $116.00 , $120.00 , $125.00 ,
D0170,"re-evaluation - limited, problem focused (established patient; not post-operative visit)", $27.00 ,$54.00,$58.00,$62.00,$65.00,$69.00,$73.00,$77.00,$81.00,$85.00,$89.00,$92.00,$96.00,$100.00,$104.00,, $30.00 , $32.00 , $34.00 , $36.00 , $38.00 , $40.00 , $42.00 , $45.00 , $47.00 , $49.00 , $51.00 , $53.00 , $55.00 , $57.00 ,
D0180,comprehensive periodontal evaluation - new or established patient, $27.00 ,$74.00,$79.00,$84.00,$89.00,$95.00,$100.00,$105.00,$110.00,$116.00,$121.00,$126.00,$131.00,$137.00,$142.00,, $41.00 , $43.00 , $46.00 , $49.00 , $52.00 , $55.00 , $58.00 , $61.00 , $64.00 , $67.00 , $69.00 , $72.00 , $75.00 , $78.00 ,
D0210,intraoral - complete series of radiographic images, $27.00 ,$104.00,$111.00,$118.00,$126.00,$133.00,$141.00,$148.00,$155.00,$163.00,$170.00,$178.00,$185.00,$192.00,$200.00,, $57.00 , $61.00 , $65.00 , $69.00 , $73.00 , $78.00 , $81.00 , $85.00 , $90.00 , $94.00 , $98.00 , $102.00 , $106.00 , $110.00 ,
